Protocol Name,"Fragmenting dsDNA, DNase I",,,,,,,,,,,,,,,,,,
Input,dsDNA,,,,,,,,,,,,,,,,,,
Output,Fragmented dsDNA,,,,,,,,,,,,,,,,,,
Remarks,"Double-stranded cDNA obtained in step (Illumina Second Strand cDNA synthesis).5 is fragmented using DNase I to generate
small fragments of cDNA suitable for sequencing using an Illumina Genome Analyzer.",,,,,,,,,,,,,,,,,,
Reference PMID,20069539,,,,,,,,,,,,,,,,,,
Reference URL,http://onlinelibrary.wiley.com/doi/10.1002/0471142727.mb0411s89/abstract;jsessionid=953D32C841D4519C73A9F2BA29307410.d01t01,,,,,,,,,,,,,,,,,,
Reference DOI,10.1002/0471142727.mb0411s89,,,,,,,,,,,,,,,,,,
Category Tags,dsDNA modification,,,,,,,,,,,,,,,,,,
Specifier Tags,DNase I,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Step Number,Step Text,Action,Attribute,,,,,,,,,,,,,,,,
,,,,"Output from prior step (Illumina, Fragment ds cDNA).1",,,,2,2,microliter,,,,,,,,,
,,,,Total volume,,,,27,27,microliter,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,,,,,
,,,,1,1,minutes,Active; Per Sample,,,,,,,,,,,,
3,Add nuclease-free water to bring the total volume of 34 _l,add,what - component list,Reagent name,Min Mass,Max Mass,Mass Units,Min Vol,Max Vol,Vol Units,Min Conc,Max Conc,Conc Units,pH,Note,,,,
,,,,"Water, nuclease-free, sterile",,,,7,7,microliter,,,,,,,,,
,,,,Total volume,,,,34,34,microliter,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,,,,,
,,,,0.5,0.5,minutes,Active; Per Sample,,,,,,,,,,,,
,Incubate for 10 min at 37_C,incubate,how - temperature,Min Temp,Max Temp,Temp Units,Temp Comment,,,,,,,,,,,,
,,,,37,37,degrees Celsius,,,,,,,,,,,,,
,,,how - time,Min Time,Max Time,Time Units,Time Comment,,,,,,,,,,,,
,,,,10,10,minutes,,,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,,,,,
,,,,10,10,minutes,Passive,,,,,,,,,,,,
,Immediately transfer to a 100_C heat block,transfer,how,immediately,,,,,,,,,,,,,,,
,,,where,to a heat block,,,,,,,,,,,,,,,
,,,how - temperature,Min Temp,Max Temp,Temp Units,Temp Comment,,,,,,,,,,,,
,,,,100,100,degrees Celsius,,,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,,,,,
,,,,0.1,0.1,minutes,Active,,,,,,,,,,,,
,incubate for 10 min to terminate the DNase I reaction.,incubate,how - temperature,Min Temp,Max Temp,Temp Units,Temp Comment,,,,,,,,,,,,
,,,,100,100,degrees Celsius,in a heat block,,,,,,,,,,,,
,,,how - time,Min Time,Max Time,Time Units,Time Comment,,,,,,,,,,,,
,,,,10,10,minutes,,,,,,,,,,,,,
,,,why,to terminate the DNase I reaction,,,,,,,,,,,,,,,
,,,step - remark,"Failure to do this in a timely fashion can result in completely digested cDNA. This incubation time is optimized for yeast and may need to be optimized for other organisms, particularly if the average transcript length differs significantly from yeast. See Critical Parameters and Troubleshooting for further details.",,,,,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,,,,,
,,,,10,10,minutes,Passive,,,,,,,,,,,,
4,"Purify the fragmented cDNA using the QIAquick PCR Purification Kit. Follow the manufacturer's recommended protocol, but elute in a final volume of 34 _l of Buffer EB.",call for protocol,protocol - type,PCR Purification,,,,,,,,,,,,,,,
,,,protocol - kit name,QIAquick PCR Purification kit,,,,,,,,,,,,,,,
,,,protocol - output,"Nucleic Acid, cDNA, purified",,,,,,,,,,,,,,,
,,,protocol - output components list,Reagent name,Min Mass,Max Mass,Mass Units,Min Vol,Max Vol,Vol Units,Min Conc,Max Conc,Conc Units,pH,Note,,,,
,,,,"Nucleic Acid, cDNA, fragmented, in Buffer EB",,,,34,34,microliter,,,,,,,,,
,,,remarks,"Follow the manufacturer's recommended protocol, but elute in a final volume of 34 _l of Buffer EB",,,,,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,,,,,
,,,,,,,"Unknown, Protocol",,,,,,,,,,,,
5,Place the tube on ice until ready for library preparation.,store,how - temperature,Min Temp,Max Temp,Temp Units,Temp Comment,,,,,,,,,,,,
,,,,0,0,degrees Celsius,On ice,,,,,,,,,,,,
,,,how - time,Min Time,Max Time,Time Units,Time Comment,,,,,,,,,,,,
,,,,,,,until ready for library preparation,,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,,,,,
,,,,1,30,minutes,Passive,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
